id,lat,lon,educational,topics,languages,name,type,parent,parenttype,mo_o,mo_c,tu_o,tu_c,we_o,we_c,th_o,th_c,fr_o,fr_c
161279,52.493934,13.4870356,"2","2",,"Kita Waschbär",0,772,4,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
1718,52.51726,13.20272,,"6",,"Kita Wassergeister",0,717,0,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30
1980,52.4665708,13.5096299,"16",,,"Kita Wattstr. 14/Kitas SüdOst",0,6,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
314,52.54072,13.3891,"2","2|3",,"Kita Wattstraße",0,15,1,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00
1279,52.43124719999999,13.360067,,,,"Kita Wedellstr. 59/Kitas Süd-West",0,709,0,0,0,0,0,0,0,0,0,0,0
765,52.48668,13.43635,"9|2",,,"Kita Weichselstraße",0,770,1,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00
169,52.5239492,13.4411785,"2","3|6","4","Kita Weidenkätzchen",0,931,3,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30
1134,52.539253,13.5057871,"2",,,"Kita Weiße Taube 1",0,911,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
2987,52.55424420000001,13.3615899,"2","1|3|4","3","Kita Weiße Wolke",1,944,2,08:00,16:00,08:00,16:00,08:00,16:00,08:00,16:00,08:00,16:00
637,52.5392701,13.6144443,,,,"Kita Weißenfelserstraße",0,0,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
550329,52.5506115,13.3854137,,,,"Kita Weltkinder",0,1136,1,0,0,0,0,0,0,0,0,0,0
1538,52.480543,13.4525932,"2",,,"Kita Weserstraße",0,770,1,07:00,16:00,07:00,16:00,07:00,16:00,07:00,16:00,07:00,16:00
451279,52.4990238,13.2916403,,"2","2","Kita Westfälische Straße",0,722,1,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00
32,52.5239492,13.4411785,"2","1",,"Kita Weydemeyerstr. 20/21",0,37,0,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30
100035,52.50287970000001,13.2999001,"2","3|4|5","1","Kita WHITE COCKATOO - Internationaler Kindergarten",0,544,1,07:30,17:30,07:30,17:30,07:30,17:30,07:30,17:30,07:30,17:30
1736,52.56707,13.20599,,,,"Kita Wichernstraße",0,717,0,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30
170,52.5239492,13.4411785,"2","0|6|5",,"Kita Wichtelbühne",0,931,3,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30
672229,52.484893,13.4305751,,,"3","Kita Wichtelgarten",0,1137,1,0,0,0,0,0,0,0,0,0,0
718329,52.4675739,13.4228683,,,,"Kita Wiedehopf",0,996,2,0,0,0,0,0,0,0,0,0,0
2591,52.4696582,13.3390233,"2|3","2",,"Kita Wielandstraße",0,722,1,07:30,16:30,07:30,16:30,07:30,16:30,07:30,16:30,07:30,16:30
390279,52.5651356,13.5305399,"10|4|1","6",,"Kita Wiesenhüpper",0,1138,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
776,52.5468503,13.3748176,,,,"Kita Wiesenstr.",0,551,1,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00
603,52.52808,13.1400916,"2","2",,"Kita Wiesenweg",0,717,0,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30
1236,52.5925516,13.37989,"13","2",,"Kita Wiesenwichtel",0,716,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
1549,52.48025,13.34804,"13|10|4|0",,,"Kita Wilde 13",1,556,1,0,0,0,0,0,0,0,0,0,0
1405,52.4892435,13.4505256,"2",,,"Kita Wildenbruchstr. 25/Kitas SüdOst",0,6,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
518,52.48017,13.5238567,"2",,,"Kita Wildensteiner Str. 3/Kigä NordOst",0,0,0,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30
617,52.42223,13.45561,"2",,,"Kita Wildhüterweg 8/Kitas SüdOst",0,6,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
390229,52.4985969,13.3783562,,,,"Kita Wilhelmine",0,661,1,07:00,19:00,07:00,19:00,07:00,19:00,07:00,19:00,07:00,19:00
351129,52.46023,13.52302,,,,"Kita Wilhelminenhofstraße",0,156,2,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00
1774,52.4850976,13.3254246,"2","2|4",,"Kita Wilhelmsaue",0,717,0,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,16:45
934,52.50239,13.38987,"2","4",,"Kita Wilhelmstr. 14a/Kigä City",0,37,0,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00
1837,52.44221169999999,13.26535,"2",,,"Kita Wilskistr.",0,709,0,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00
261129,52.56717390000001,13.579929,"2","1|4",,"Kita Windlicht",0,533,1,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00
514279,52.51251,13.4873167,,,,"Kita Windspiel",0,661,1,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00
1477,52.6130455,13.3398095,"2",,,"Kita Wirbelwind",0,717,0,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00
2726,52.48501220000001,13.6063276,"2",,,"Kita Wirbelwind",0,726,1,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30
2754,52.54804,13.44176,"13|2","2",,"Kita Wirbelwind",0,716,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
2755,52.5584724,13.4433168,"13|2","1|2|3|4",,"Kita Wirbelwind",0,15,1,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:00
2768,52.4503881,13.5295732,"4",,,"Kita Wirbelwind",0,21,1,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30
456129,52.54023,13.35905,,"2",,"KITA Wirbelzwirbel",0,531,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
2775,52.46639,13.57999,"4",,,"Kita Wirsi-Kids",0,21,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
1075,52.4839231,13.4231485,"2",,,"Kita Wissmannstraße 33 / Kitas SüdOst",0,6,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
2196,52.56617,13.50502,"32",,,"Kita Wolkenreise",0,661,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
271129,52.4982145,13.5023168,"0","4",,"Kita Wolkenschaf",0,1139,1,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00
101129,52.507641,13.394413,,,,"Kita Wolkenzwerge",0,1104,1,07:30,19:30,07:30,19:30,07:30,19:30,07:30,19:30,07:30,19:30
291129,52.56867,13.32079,,,,"Kita Wortschmiede",0,708,1,0,0,0,0,0,0,0,0,0,0
614229,52.56449509999999,13.5719271,"2","2|4|6",,"Kita Wuhlehopser",0,931,3,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00
522229,52.479885,13.5692596,,,,"Kita Wuhlekinder",1,903,1,0,0,0,0,0,0,0,0,0,0
